german,english,pronunciation,type,tags,frequency,example,example_translation
suchen,to look for/to search,[ˈzuːxən],verb,verb|essential|basic,7,Ich suche den Bahnhof.,I am looking for the train station.
bringen,to bring,[ˈbʁɪŋən],verb,verb|essential|basic|irregular,7,Bringst du bitte das Brot mit?,Can you please bring the bread?
anrufen,to call (on the phone),[ˈanˌʁuːfn̩],verb,verb|separable|essential,8,Ich rufe dich später an.,I will call you later.
beginnen,to begin,[bəˈɡɪnən],verb,verb|essential|basic,6,Der Film beginnt um 20 Uhr.,The movie begins at 8 PM.
erklären,to explain,[ɛɐ̯ˈklɛːʁən],verb,verb|basic,6,Kannst du das bitte erklären?,Can you please explain that?
erzählen,to tell/to narrate,[ɛɐ̯ˈtsɛːlən],verb,verb|basic,6,Erzähl mir eine Geschichte.,Tell me a story.
glauben,to believe,[ˈɡlaʊbn̩],verb,verb|basic,6,Ich glaube dir.,I believe you.
helfen,to help,[ˈhɛlfn̩],verb,verb|dative|essential|irregular,7,Kannst du mir helfen?,Can you help me?
hoffen,to hope,[ˈhɔfn̩],verb,verb|basic,6,Ich hoffe, es geht dir gut.,I hope you are doing well.
hören,to hear/to listen,[ˈhøːʁən],verb,verb|essential|basic,8,Hörst du die Musik?,Do you hear the music?
lesen,to read,[ˈleːzn̩],verb,verb|essential|basic|irregular,8,Ich lese gerade ein Buch.,I am reading a book right now.
lieben,to love,[ˈliːbn̩],verb,verb|basic,7,Ich liebe dich.,I love you.
meinen,to mean/to think,[ˈmaɪnən],verb,verb|basic,6,Was meinst du dazu?,What do you think about that?
öffnen,to open,[ˈœfnən],verb,verb|essential|basic,7,Öffnen Sie bitte die Tür.,Please open the door.
schließen,to close,[ˈʃliːsn̩],verb,verb|essential|basic,7,Schließ bitte das Fenster.,Please close the window.
schreiben,to write,[ˈʃʁaɪbn̩],verb,verb|essential|basic,8,Ich schreibe eine E-Mail.,I am writing an email.
schwimmen,to swim,[ˈʃvɪmən],verb,verb|basic,7,Im Sommer schwimmen wir im See.,In the summer, we swim in the lake.
singen,to sing,[ˈzɪŋən],verb,verb|basic,6,Sie singt sehr gut.,She sings very well.
sitzen,to sit,[ˈzɪtsn̩],verb,verb|essential|basic|irregular,7,Wir sitzen im Café.,We are sitting in the café.
spielen,to play,[ˈʃpiːlən],verb,verb|essential|basic,8,Die Kinder spielen im Garten.,The children are playing in the garden.
tanzen,to dance,[ˈtantsn̩],verb,verb|basic,6,Wollen wir tanzen?,Shall we dance?
treffen,to meet,[ˈtʁɛfn̩],verb,verb|essential|basic|irregular,7,Ich treffe heute einen Freund.,I am meeting a friend today.
warten,to wait,[ˈvaʁtn̩],verb,verb|essential|basic,7,Ich warte auf den Bus.,I am waiting for the bus.
wohnen,to live/reside,[ˈvoːnən],verb,verb|essential|basic,9,Wo wohnst du?,Where do you live?
zeigen,to show,[ˈtsaɪɡn̩],verb,verb|basic,6,Kannst du mir den Weg zeigen?,Can you show me the way?
anfangen,to start/to begin,[ˈanˌfaŋən],verb,verb|separable|essential,7,Wann fängt der Kurs an?,When does the course start?
aufstehen,to get up,[ˈaʊfˌʃteːən],verb,verb|separable|essential,7,Ich stehe jeden Tag um 7 Uhr auf.,I get up at 7 AM every day.
einkaufen,to shop for groceries,[ˈaɪnˌkaʊfn̩],verb,verb|separable|essential,8,Am Samstag kaufe ich ein.,I go grocery shopping on Saturday.
fernsehen,to watch TV,[ˈfɛɐnˌzeːən],verb,verb|separable|essential,7,Abends sehe ich oft fern.,In the evenings, I often watch TV.
mitbringen,to bring along,[ˈmɪtˌbʁɪŋən],verb,verb|separable|essential,6,Bringst du einen Salat mit?,Are you bringing a salad?
mitkommen,to come along,[ˈmɪtˌkɔmən],verb,verb|separable|essential,6,Kommst du mit ins Kino?,Are you coming along to the cinema?
abfahren,to depart,[ˈapˌfaːʁən],verb,verb|separable|essential,6,Der Zug fährt um 10 Uhr ab.,The train departs at 10 AM.
ankommen,to arrive,[ˈanˌkɔmən],verb,verb|separable|essential,7,Wann kommt der Bus an?,When does the bus arrive?
einladen,to invite,[ˈaɪnˌlaːdn̩],verb,verb|separable|essential,6,Ich lade dich zu meiner Party ein.,I am inviting you to my party.
aussehen,to look/appear,[ˈaʊsˌzeːən],verb,verb|separable|basic,6,Du siehst heute gut aus.,You look good today.
gefallen,to be pleasing to/to like,[ɡəˈfalən],verb,verb|dative|irregular,7,Das Kleid gefällt mir.,I like the dress.
gehören,to belong to,[ɡəˈhøːʁən],verb,verb|dative|basic,6,Wem gehört diese Jacke?,Who does this jacket belong to?
passieren,to happen,[paˈsiːʁən],verb,verb|basic,6,Was ist passiert?,What happened?
reservieren,to reserve,[ʁezɛʁˈviːʁən],verb,verb|basic,7,Ich möchte einen Tisch reservieren.,I would like to reserve a table.
studieren,to study (at university),[ʃtuˈdiːʁən],verb,verb|basic,7,Er studiert Medizin in Berlin.,He studies medicine in Berlin.
telefonieren,to telephone,[teləfoˈniːʁən],verb,verb|basic,7,Ich muss mit meinem Chef telefonieren.,I have to telephone my boss.
vergessen,to forget,[fɛɐ̯ˈɡɛsn̩],verb,verb|irregular|basic,6,Ich habe meinen Regenschirm vergessen.,I forgot my umbrella.
vorstellen,to introduce,[ˈfoːɐ̯ˌʃtɛlən],verb,verb|separable|reflexive,6,Ich stelle mich vor: Ich bin Anna.,Let me introduce myself: I am Anna.
waschen,to wash,[ˈvaʃn̩],verb,verb|irregular|basic,6,Ich wasche mein Auto.,I am washing my car.
wehtun,to hurt,[ˈveːˌtuːn],verb,verb|separable|basic,6,Mein Kopf tut weh.,My head hurts.
zurückkommen,to come back,[tsuˈʁʏkˌkɔmən],verb,verb|separable|basic,6,Wann kommst du zurück?,When are you coming back?
ich,I,[ɪç],pronoun,personal|nominative|essential,9,Ich lerne Deutsch.,I am learning German.
du,you (informal),[duː],pronoun,personal|nominative|essential,9,Wie heißt du?,What is your name?
er,he,[eːɐ̯],pronoun,personal|nominative|essential,9,Er kommt aus Deutschland.,He comes from Germany.
sie,she/they,[ziː],pronoun,personal|nominative|essential,9,Sie liest ein Buch.,She is reading a book.
es,it,[ɛs],pronoun,personal|nominative|essential,9,Es regnet.,It is raining.
wir,we,[viːɐ̯],pronoun,personal|nominative|essential,9,Wir gehen spazieren.,We are going for a walk.
ihr,you (plural, informal),[iːɐ̯],pronoun,personal|nominative|essential,9,Was macht ihr heute?,What are you (all) doing today?
Sie,you (formal),[ziː],pronoun,personal|nominative|essential,9,Sprechen Sie Englisch?,Do you speak English?
mich,me,[mɪç],pronoun,personal|accusative|essential,9,Kannst du mich anrufen?,Can you call me?
dich,you (informal),[dɪç],pronoun,personal|accusative|essential,9,Ich sehe dich.,I see you.
ihn,him,[iːn],pronoun,personal|accusative|essential,9,Ich kenne ihn nicht.,I don't know him.
uns,us,[ʊns],pronoun,personal|accusative|dative|essential,9,Er besucht uns morgen.,He is visiting us tomorrow.
euch,you (plural, informal),[ɔʏç],pronoun,personal|accusative|dative|essential,9,Ich helfe euch.,I'll help you (all).
mir,me (dative),[miːɐ̯],pronoun,personal|dative|essential,9,Gib mir bitte das Buch.,Please give the book to me.
dir,you (informal, dative),[diːɐ̯],pronoun,personal|dative|essential,9,Wie geht es dir?,How are you?
ihm,him (dative),[iːm],pronoun,personal|dative|essential,9,Ich gebe ihm einen Stift.,I give a pen to him.
ihr,her (dative),[iːɐ̯],pronoun,personal|dative|essential,9,Ich helfe ihr bei den Hausaufgaben.,I am helping her with the homework.
Ihnen,you (formal, dative),[ˈiːnən],pronoun,personal|dative|essential,9,Kann ich Ihnen helfen?,Can I help you?
mein,my,[maɪn],pronoun,possessive|essential,9,Das ist mein Auto.,That is my car.
dein,your (informal),[daɪn],pronoun,possessive|essential,9,Ist das dein Hund?,Is that your dog?
sein,his/its,[zaɪn],pronoun,possessive|essential,9,Das ist sein Fahrrad.,That is his bicycle.
ihr,her/their,[iːɐ̯],pronoun,possessive|essential,9,Das ist ihr Haus.,That is her/their house.
unser,our,[ˈʊnzɐ],pronoun,possessive|essential,9,Das ist unsere Wohnung.,That is our apartment.
euer,your (plural, informal),[ˈɔʏɐ],pronoun,possessive|essential,9,Ist das euer Kind?,Is that your child?
Ihr,your (formal),[iːɐ̯],pronoun,possessive|essential,9,Wie ist Ihr Name?,What is your name?
was,what,[vas],pronoun,interrogative|essential,9,Was ist das?,What is that?
wer,who,[veːɐ̯],pronoun,interrogative|essential,9,Wer bist du?,Who are you?
wie,how,[viː],pronoun,interrogative|essential,9,Wie geht es Ihnen?,How are you?
wo,where,[voː],pronoun,interrogative|essential,9,Wo wohnen Sie?,Where do you live?
wann,when,[van],pronoun,interrogative|essential,9,Wann beginnt der Film?,When does the movie start?
warum,why,[vaˈʁʊm],pronoun,interrogative|essential,8,Warum lernst du Deutsch?,Why are you learning German?
woher,where from,[voˈheːɐ̯],pronoun,interrogative|essential,9,Woher kommen Sie?,Where do you come from?
wohin,where to,[voˈhɪn],pronoun,interrogative|essential,8,Wohin fährst du?,Where are you driving to?
welche,which,[ˈvɛlçə],pronoun,interrogative|essential,8,Welche Farbe magst du?,Which color do you like?
gut,good,[ɡuːt],adjective,adjective|essential|basic,9,Das Essen ist sehr gut.,The food is very good.
schlecht,bad,[ʃlɛçt],adjective,adjective|essential|basic,8,Das Wetter ist heute schlecht.,The weather is bad today.
groß,big/large/tall,[ɡʁoːs],adjective,adjective|essential|basic,9,Berlin ist eine große Stadt.,Berlin is a large city.
klein,small/little,[klaɪn],adjective,adjective|essential|basic,9,Ich habe ein kleines Auto.,I have a small car.
neu,new,[nɔʏ],adjective,adjective|essential|basic,9,Mein Computer ist neu.,My computer is new.
alt,old,[alt],adjective,adjective|essential|basic,9,Wie alt bist du?,How old are you?
jung,young,[jʊŋ],adjective,adjective|essential|basic,8,Meine Schwester ist jünger als ich.,My sister is younger than me.
schön,beautiful/nice,[ʃøːn],adjective,adjective|essential|basic,8,Das ist ein schönes Bild.,That is a beautiful picture.
hässlich,ugly,[ˈhɛslɪç],adjective,adjective|basic,6,Ich finde diese Lampe hässlich.,I find this lamp ugly.
lang,long,[laŋ],adjective,adjective|essential|basic,8,Der Film war zu lang.,The movie was too long.
kurz,short,[kʊʁts],adjective,adjective|essential|basic,8,Ich trage eine kurze Hose.,I am wearing short pants.
hoch,high,[hoːx],adjective,adjective|basic,7,Der Berg ist sehr hoch.,The mountain is very high.
niedrig,low,[ˈniːdʁɪç],adjective,adjective|basic,6,Die Preise sind hier niedrig.,The prices here are low.
heiß,hot,[haɪs],adjective,adjective|essential|basic,8,Im Sommer ist es oft heiß.,In summer it is often hot.
kalt,cold,[kalt],adjective,adjective|essential|basic,8,Mir ist kalt.,I am cold.
warm,warm,[vaʁm],adjective,adjective|essential|basic,8,Die Suppe ist noch warm.,The soup is still warm.
hell,bright/light,[hɛl],adjective,adjective|basic,7,Das Zimmer ist sehr hell.,The room is very bright.
dunkel,dark,[ˈdʊŋkl̩],adjective,adjective|basic,7,Im Winter wird es früh dunkel.,In winter it gets dark early.
richtig,right/correct,[ˈʁɪçtɪç],adjective,adjective|essential|basic,8,Die Antwort ist richtig.,The answer is correct.
falsch,wrong,[falʃ],adjective,adjective|essential|basic,8,Das ist die falsche Nummer.,That is the wrong number.
schnell,fast,[ʃnɛl],adjective,adjective|essential|basic,8,Er kann sehr schnell laufen.,He can run very fast.
langsam,slow,[ˈlaŋzaːm],adjective,adjective|essential|basic,8,Bitte sprechen Sie langsam.,Please speak slowly.
einfach,easy/simple,[ˈaɪnfax],adjective,adjective|essential|basic,8,Die Prüfung war sehr einfach.,The exam was very easy.
schwer,difficult/heavy,[ʃveːɐ̯],adjective,adjective|essential|basic,8,Der Koffer ist sehr schwer.,The suitcase is very heavy.
leicht,easy/light,[laɪçt],adjective,adjective|essential|basic,8,Die Feder ist sehr leicht.,The feather is very light.
billig,cheap,[ˈbɪlɪç],adjective,adjective|essential|basic,8,Das T-Shirt war sehr billig.,The T-shirt was very cheap.
teuer,expensive,[ˈtɔʏɐ],adjective,adjective|essential|basic,8,Das Auto ist zu teuer.,The car is too expensive.
frei,free,[fʁaɪ],adjective,adjective|essential|basic,7,Ist dieser Platz noch frei?,Is this seat still free?
besetzt,occupied,[bəˈzɛtst],adjective,adjective|basic,6,Die Toilette ist besetzt.,The toilet is occupied.
offen,open,[ˈɔfn̩],adjective,adjective|essential|basic,7,Das Geschäft ist bis 20 Uhr offen.,The store is open until 8 PM.
geschlossen,closed,[ɡəˈʃlɔsn̩],adjective,adjective|essential|basic,7,Die Bank ist samstags geschlossen.,The bank is closed on Saturdays.
müde,tired,[ˈmyːdə],adjective,adjective|essential|basic,8,Ich bin sehr müde.,I am very tired.
glücklich,happy,[ˈɡlʏklɪç],adjective,adjective|basic,7,Sie sieht sehr glücklich aus.,She looks very happy.
traurig,sad,[ˈtʁaʊʁɪç],adjective,adjective|basic,6,Warum bist du traurig?,Why are you sad?
interessant,interesting,[ɪntəʁɛˈsant],adjective,adjective|basic,7,Der Artikel ist sehr interessant.,The article is very interesting.
langweilig,boring,[ˈlaŋˌvaɪlɪç],adjective,adjective|basic,6,Der Film war langweilig.,The movie was boring.
lecker,delicious,[ˈlɛkɐ],adjective,adjective|essential|basic,8,Der Kuchen ist sehr lecker.,The cake is very delicious.
gesund,healthy,[ɡəˈzʊnt],adjective,adjective|basic,7,Obst und Gemüse sind gesund.,Fruits and vegetables are healthy.
krank,sick,[kʁaŋk],adjective,adjective|essential|basic,7,Ich bin heute krank.,I am sick today.
laut,loud,[laʊt],adjective,adjective|basic,7,Die Musik ist zu laut.,The music is too loud.
leise,quiet,[ˈlaɪzə],adjective,adjective|basic,7,Bitte seid leise, das Baby schläft.,Please be quiet, the baby is sleeping.
sauber,clean,[ˈzaʊbɐ],adjective,adjective|basic,7,Mein Zimmer ist sauber.,My room is clean.
schmutzig,dirty,[ˈʃmʊtsɪç],adjective,adjective|basic,6,Deine Hände sind schmutzig.,Your hands are dirty.
wichtig,important,[ˈvɪçtɪç],adjective,adjective|essential|basic,8,Das ist eine wichtige Information.,That is important information.
möglich,possible,[ˈmøːklɪç],adjective,adjective|basic,6,Ist es möglich, einen Termin zu verschieben?,Is it possible to postpone an appointment?
unmöglich,impossible,[ˈʊnˌmøːklɪç],adjective,adjective|basic,5,Das ist völlig unmöglich.,That is completely impossible.
bekannt,famous/well-known,[bəˈkant],adjective,adjective|basic,6,Er ist ein bekannter Schauspieler.,He is a famous actor.
spät,late,[ʃpɛːt],adjective,adjective|essential|basic,8,Es ist schon spät.,It is already late.
früh,early,[fʁyː],adjective,adjective|essential|basic,7,Ich muss morgen früh aufstehen.,I have to get up early tomorrow.
nächste,next,[ˈnɛːçstə],adjective,adjective|essential|basic,8,Wir sehen uns nächste Woche.,See you next week.
letzte,last,[ˈlɛtstə],adjective,adjective|essential|basic,7,Das war die letzte Frage.,That was the last question.
ganz,whole/quite,[ɡants],adjective,adverb|essential|basic,8,Ich habe den ganzen Tag gearbeitet.,I worked the whole day.
viel,much/a lot,[fiːl],adjective,adverb|essential|basic,8,Ich habe nicht viel Zeit.,I don't have much time.
wenig,little/few,[ˈveːnɪç],adjective,adverb|essential|basic,7,Ich verdiene nur wenig Geld.,I earn only a little money.
andere,other/different,[ˈandəʁə],adjective,adjective|essential|basic,7,Hast du andere Pläne?,Do you have other plans?
alle,all/everyone,[ˈalə],pronoun,pronoun|essential|basic,9,Alle sind eingeladen.,Everyone is invited.
beide,both,[ˈbaɪdə],adjective,pronoun|basic,7,Wir nehmen beide.,We'll take both.
einige,some,[ˈaɪnɪɡə],pronoun,pronoun|basic,6,Einige Leute sind schon da.,Some people are already there.
kein,no/none,[kaɪn],pronoun,pronoun|essential|basic,9,Ich habe keine Zeit.,I have no time.
manche,some,[ˈmançə],pronoun,pronoun|basic,6,Manche Fragen sind schwierig.,Some questions are difficult.
jetzt,now,[jɛtst],adverb,adverb|time|essential,9,Wir müssen jetzt gehen.,We have to go now.
heute,today,[ˈhɔʏtə],adverb,adverb|time|essential,9,Heute ist ein schöner Tag.,Today is a beautiful day.
morgen,tomorrow,[ˈmɔʁɡn̩],adverb,adverb|time|essential,9,Morgen habe ich einen Termin.,Tomorrow I have an appointment.
gestern,yesterday,[ˈɡɛstɐn],adverb,adverb|time|essential,9,Gestern war ich im Kino.,Yesterday I was at the cinema.
immer,always,[ˈɪmɐ],adverb,adverb|frequency|essential,8,Er kommt immer zu spät.,He always comes too late.
oft,often,[ɔft],adverb,adverb|frequency|essential,8,Wir gehen oft spazieren.,We often go for a walk.
manchmal,sometimes,[ˈmançmaːl],adverb,adverb|frequency|essential,7,Manchmal esse ich Pizza.,Sometimes I eat pizza.
selten,rarely,[ˈzɛltn̩],adverb,adverb|frequency|basic,6,Ich sehe ihn nur noch selten.,I rarely see him anymore.
nie,never,[niː],adverb,adverb|frequency|essential,8,Ich war noch nie in Paris.,I have never been to Paris.
bald,soon,[balt],adverb,adverb|time|essential,7,Bis bald!,See you soon!
dann,then,[dan],adverb,adverb|time|essential,8,Erst die Arbeit, dann das Vergnügen.,First work, then pleasure.
hier,here,[hiːɐ̯],adverb,adverb|place|essential,9,Hier ist der Eingang.,Here is the entrance.
dort,there,[dɔʁt],adverb,adverb|place|essential,8,Das Restaurant ist dort drüben.,The restaurant is over there.
links,left,[lɪŋks],adverb,adverb|direction|essential,8,Biegen Sie links ab.,Turn left.
rechts,right,[ʁɛçts],adverb,adverb|direction|essential,8,Das Bad ist auf der rechten Seite.,The bathroom is on the right side.
geradeaus,straight ahead,[ɡəˌʁaːdəˈʔaʊs],adverb,adverb|direction|essential,7,Gehen Sie immer geradeaus.,Go straight ahead.
oben,above/upstairs,[ˈoːbn̩],adverb,adverb|place|essential,7,Meine Wohnung ist oben.,My apartment is upstairs.
unten,below/downstairs,[ˈʊntn̩],adverb,adverb|place|essential,7,Der Keller ist unten.,The cellar is downstairs.
vorne,in front,[ˈfɔʁnə],adverb,adverb|place|essential,7,Bitte vorne einsteigen.,Please get on at the front.
hinten,behind/in the back,[ˈhɪntn̩],adverb,adverb|place|essential,7,Die Kinder sitzen hinten.,The children are sitting in the back.
auch,also/too,[aʊx],adverb,adverb|essential,9,Ich komme auch mit.,I'm coming too.
nur,only,[nuːɐ̯],adverb,adverb|essential,9,Ich habe nur fünf Euro.,I only have five euros.
sehr,very,[zeːɐ̯],adverb,adverb|intensifier|essential,9,Das ist sehr gut.,That is very good.
zu,too (excessively),[tsuː],adverb,adverb|intensifier|essential,8,Der Kaffee ist zu heiß.,The coffee is too hot.
vielleicht,perhaps/maybe,[fiˈlaɪçt],adverb,adverb|modal|essential,8,Vielleicht komme ich später.,Maybe I'll come later.
bitte,please,[ˈbɪtə],adverb,particle|essential,9,Ein Glas Wasser, bitte.,A glass of water, please.
danke,thank you,[ˈdaŋkə],interjection,particle|essential,9,Danke für deine Hilfe.,Thank you for your help.
gern,gladly/with pleasure,[ɡɛʁn],adverb,adverb|essential,8,Ich helfe Ihnen gern.,I'll gladly help you.
leider,unfortunately,[ˈlaɪdɐ],adverb,adverb|essential,8,Leider habe ich keine Zeit.,Unfortunately, I don't have time.
zusammen,together,[tsuˈzamən],adverb,adverb|essential,8,Wir gehen zusammen ins Restaurant.,We are going to the restaurant together.
schon,already/yet,[ʃoːn],adverb,adverb|time|essential,8,Bist du schon fertig?,Are you already finished?
noch,still/yet,[nɔx],adverb,adverb|time|essential,8,Er ist noch nicht da.,He is not here yet.
wieder,again,[ˈviːdɐ],adverb,adverb|essential,7,Kommst du bald wieder?,Are you coming again soon?
weg,away/gone,[vɛk],adverb,adverb|basic,6,Meine Brille ist weg.,My glasses are gone.
zurück,back,[tsuˈʁʏk],adverb,adverb|direction|essential,7,Wann kommst du zurück?,When are you coming back?
deshalb,therefore/that's why,[ˈdɛshalp],adverb,adverb|conjunction|basic,6,Ich bin krank, deshalb bleibe ich zu Hause.,I am sick, therefore I am staying home.
trotzdem,nevertheless/anyway,[ˈtʁɔtsdeːm],adverb,adverb|conjunction|basic,6,Es regnet, trotzdem gehe ich spazieren.,It's raining, nevertheless I'm going for a walk.
und,and,[ʊnt],conjunction,coordinating|essential,9,Ich kaufe Äpfel und Bananen.,I am buying apples and bananas.
oder,or,[ˈoːdɐ],conjunction,coordinating|essential,9,Möchtest du Tee oder Kaffee?,Would you like tea or coffee?
aber,but,[ˈaːbɐ],conjunction,coordinating|essential,9,Ich möchte kommen, aber ich habe keine Zeit.,I want to come, but I have no time.
denn,because/for,[dɛn],conjunction,coordinating|essential,8,Ich bleibe zu Hause, denn ich bin müde.,I'm staying home, because I'm tired.
sondern,but rather/instead,[ˈzɔndɐn],conjunction,coordinating|basic,6,Er ist nicht dumm, sondern faul.,He is not stupid, but rather lazy.
dass,that,[das],conjunction,subordinating|essential,8,Ich weiß, dass du Recht hast.,I know that you are right.
ob,if/whether,[ɔp],conjunction,subordinating|essential,7,Ich weiß nicht, ob er kommt.,I don't know if he is coming.
weil,because,[vaɪl],conjunction,subordinating|essential,8,Ich lerne Deutsch, weil ich in Deutschland arbeiten will.,I'm learning German because I want to work in Germany.
wenn,if/when,[vɛn],conjunction,subordinating|essential,8,Wenn das Wetter gut ist, gehen wir schwimmen.,If the weather is good, we'll go swimming.
als,when (past event)/than,[als],conjunction,subordinating|essential,7,Als ich ein Kind war, lebte ich in Italien.,When I was a child, I lived in Italy.
bevor,before,[bəˈfoːɐ̯],conjunction,subordinating|basic,6,Putzt du die Zähne, bevor du schlafen gehst?,Do you brush your teeth before you go to sleep?
bis,until,[bɪs],conjunction,subordinating|preposition|essential,7,Ich warte, bis du fertig bist.,I'll wait until you are finished.
damit,so that,[daˈmɪt],conjunction,subordinating|basic,5,Ich lerne viel, damit ich die Prüfung bestehe.,I study a lot so that I pass the exam.
nachdem,after,[naxˈdeːm],conjunction,subordinating|basic,5,Nachdem er gegessen hatte, ging er spazieren.,After he had eaten, he went for a walk.
obwohl,although,[ɔpˈvoːl],conjunction,subordinating|basic,6,Obwohl er krank ist, geht er zur Arbeit.,Although he is sick, he goes to work.
seit,since,[zaɪt],conjunction,subordinating|preposition|basic,6,Seit ich hier wohne, bin ich glücklich.,Since I've lived here, I've been happy.
während,while/during,[ˈvɛːʁənt],conjunction,subordinating|preposition|basic,6,Während ich koche, höre ich Musik.,While I cook, I listen to music.
in,in/into,[ɪn],preposition,two-way|essential,9,Ich bin in der Schule.,I am in the school.
an,at/on (vertical),[an],preposition,two-way|essential,9,Das Bild hängt an der Wand.,The picture is hanging on the wall.
auf,on (horizontal),[aʊf],preposition,two-way|essential,9,Das Buch liegt auf dem Tisch.,The book is on the table.
für,for,[fyːɐ̯],preposition,accusative|essential,9,Dieses Geschenk ist für dich.,This present is for you.
mit,with,[mɪt],preposition,dative|essential,9,Ich fahre mit dem Zug.,I am traveling by train.
nach,after/to (cities/countries),[naːx],preposition,dative|essential,9,Nach der Arbeit gehe ich nach Hause.,After work, I go home.
von,from/of,[fɔn],preposition,dative|essential,9,Das ist ein Geschenk von meiner Mutter.,That is a gift from my mother.
zu,to/at,[tsuː],preposition,dative|essential,9,Ich gehe zum Arzt.,I am going to the doctor.
