id,category,question_type,prompt,correct_answer,option_b,option_c,helper_text
73,Articles,fill_in_blank,"Sie kauft ___ schöne Tasche.",eine,einen,ein,"die Tasche (feminine)"
74,Haben/Sein,multiple_choice,"Wir ___ im Urlaub.",sind,haben,waren,"sein (to be)"
75,Verbs,fill_in_blank,"Er ___ die Tür zu.",macht,mache,machen,"zumachen (to close - separable verb)"
76,Cases,multiple_choice,"Das Geschenk ist für ___ Vater.",den,der,dem,"der Vater (masculine)"
77,W-Fragen,fill_in_blank,"___ gehört dieses Buch?",Wem,Wen,Wer,"Asking about ownership (dative)"
78,Sentences,build_sentence,"ich|an|rufe|dich|morgen",Ich rufe dich morgen an.,,,
79,Pronouns,multiple_choice,"Kannst du ___ das Salz geben?",mir,mich,ich,"geben + Dativ"
80,Verbs,multiple_choice,"Du ___ zu viel.",isst,esse,essen,"essen (to eat - irregular)"
81,Articles,fill_in_blank,"Er hat ___ Hund.",einen,ein,eine,"der Hund (masculine)"
82,Haben/Sein,fill_in_blank,"Du ___ Glück!",hast,bist,habe,"Glück haben (to be lucky)"
83,Verbs,fill_in_blank,"Das Baby ___ die ganze Nacht.",schläft,schlafen,schlafe,"schlafen (to sleep - irregular)"
84,Cases,multiple_choice,"Ich schreibe ___ E-Mail.",eine,einen,ein,"die E-Mail (feminine)"
85,W-Fragen,fill_in_blank,"___ fährt dieser Bus?",Wohin,Wo,Woher,"Asking for destination"
86,Sentences,build_sentence,"erzählt|eine Geschichte|er|uns",Er erzählt uns eine Geschichte.,,,
87,Pronouns,multiple_choice,"Er hat ___ (him) nicht gesehen.",ihn,er,ihm,"er -> ihn (accusative)"
88,Modal Verbs,fill_in_blank,"___ ich hier rauchen?",Darf,Muss,Will,"dürfen (may, to be allowed to)"
89,Articles,fill_in_blank,"Ich lese gerade ___ spannendes Buch.",ein,einen,eine,"das Buch (neuter)"
90,Haben/Sein,multiple_choice,"Ich ___ am ersten Januar geboren.",bin,habe,werde,"sein (to be) - with 'geboren'"
91,Verbs,fill_in_blank,"Ich ___ dir.",glaube,glaubst,glaubt,"glauben (to believe)"
92,Cases,multiple_choice,"Wir brauchen ___ neuen Tisch.",einen,ein,einem,"der Tisch (masculine)"
93,W-Fragen,fill_in_blank,"___ hast du das gelernt?",Wo,Wie,Was,"Asking 'how' or 'where'"
94,Sentences,build_sentence,"kaufen|wir|im Supermarkt|ein",Wir kaufen im Supermarkt ein.,,,
95,Pronouns,multiple_choice,"Das gehört ___ nicht.",mir,mich,ich,"gehören + Dativ"
96,Verbs,multiple_choice,"Sie ___ ihrem Bruder.",ähnelt,ähneln,ähnle,"ähneln (to resemble - dative verb)"
97,Articles,fill_in_blank,"Er trägt ___ Brille.",eine,einen,ein,"die Brille (feminine)"
98,Haben/Sein,fill_in_blank,"Ihr ___ gestern im Kino.",wart,hattet,seid,"sein (to be) - Past Tense (Präteritum)"
99,Verbs,fill_in_blank,"Bitte ___ Sie das Fenster.",schließen,schließt,schließe,"schließen (to close)"
100,Cases,multiple_choice,"Ich helfe ___ alten Dame.",der,die,den,"helfen + Dativ"
101,Verbs,fill_in_blank,"Du ___ gern Kaffee.",trinkst,trinke,trinkt,"trinken (to drink)"
102,Articles,multiple_choice,"Sie liest ___ Buch.",das,den,die,"das Buch (neuter)"
103,Sentences,build_sentence,"isst|einen Apfel|das Mädchen",Das Mädchen isst einen Apfel.,,,
104,Haben/Sein,fill_in_blank,"Er ___ einen Bruder.",hat,ist,habe,"haben (to have)"
105,W-Fragen,multiple_choice,"___ machen wir heute?",Was,Wer,Wann,"Asking 'what'"
106,Pronouns,fill_in_blank,"Ich liebe ___.",dich,du,dir,"lieben + Akkusativ"
107,Verbs,fill_in_blank,"Wir ___ in Spanien.",wohnen,wohnt,wohne,"wohnen (to live)"
108,Cases,multiple_choice,"Er fragt ___ Polizisten.",den,der,dem,"der Polizist (masculine)"
109,Modal Verbs,fill_in_blank,"Ihr ___ lauter sprechen.",müsst,müssen,muss,"müssen (must, have to)"
110,Haben/Sein,multiple_choice,"___ Sie verheiratet?",Sind,Haben,Seid,"sein (to be)"
111,Verbs,multiple_choice,"Ich ___ auf den Bus.",warte,wartest,wartet,"warten (to wait)"
112,Articles,fill_in_blank,"Das ist ___ gute Idee.",eine,ein,einen,"die Idee (feminine)"
113,W-Fragen,fill_in_blank,"___ alt ist dein Vater?",Wie,Was,Wo,"Asking for age"
114,Sentences,build_sentence,"kann|Gitarre|spielen|sie",Sie kann Gitarre spielen.,,,
115,Pronouns,multiple_choice,"Gefällt es ___ hier?",dir,dich,du,"gefallen + Dativ"
116,Verbs,fill_in_blank,"Er ___ die Tür auf.",macht,mache,machen,"aufmachen (to open - separable)"
117,Cases,multiple_choice,"Wir sehen ___ Film.",den,der,das,"der Film (masculine)"
118,Haben/Sein,fill_in_blank,"Du ___ aber Glück!",hast,bist,haben,"Glück haben (to be lucky)"
119,Verbs,multiple_choice,"Ihr ___ die Hausaufgaben.",macht,mache,machen,"machen (to do)"
120,Articles,fill_in_blank,"Er trinkt ___ Glas Wasser.",ein,einen,eine,"das Glas (neuter)"
121,W-Fragen,multiple_choice,"___ ist dein Name?",Wie,Was,Wer,"Asking for a name"
122,Sentences,build_sentence,"kauft|im Supermarkt|sie|Milch",Sie kauft im Supermarkt Milch.,,,
123,Pronouns,fill_in_blank,"Er hilft ___ (us).",uns,wir,unser,"helfen + Dativ"
124,Verbs,fill_in_blank,"Ich ___ dich morgen an.",rufe,rufst,rufen,"anrufen (to call - separable)"
125,Cases,multiple_choice,"Sie sucht ___ Schlüssel.",den,der,die,"der Schlüssel (masculine)"
126,Haben/Sein,fill_in_blank,"Ich ___ keine Geschwister.",habe,bin,hatte,"haben (to have)"
127,Verbs,multiple_choice,"Du ___ sehr gut Deutsch.",sprichst,spreche,sprechen,"sprechen (to speak - irregular)"
128,Articles,fill_in_blank,"Das ist ___ Tisch.",ein,einen,eine,"der Tisch (masculine)"
129,W-Fragen,fill_in_blank,"___ kommt der Zug an?",Wann,Wo,Was,"Asking for arrival time"
130,Sentences,build_sentence,"ich|ins Bett|gehe|um 10 Uhr",Ich gehe um 10 Uhr ins Bett.,,,
131,Pronouns,multiple_choice,"Ich schreibe ___ eine E-Mail.",ihm,ihn,er,"er -> ihm (dative)"
132,Verbs,fill_in_blank,"Wir ___ oft zusammen.",kochen,kocht,koche,"kochen (to cook)"
133,Cases,multiple_choice,"Er isst ___ Pizza.",die,der,den,"die Pizza (feminine)"
134,Haben/Sein,multiple_choice,"___ ihr durstig?",Seid,Habt,Sind,"sein (to be)"
135,Verbs,fill_in_blank,"Das Kind ___ mit dem Hund.",spielt,spiele,spielen,"spielen (to play)"
136,Articles,multiple_choice,"Ich fahre mit ___ Bus.",dem,den,der,"der Bus (Dativ - A2)"
137,W-Fragen,fill_in_blank,"___ hast du Geburtstag?",Wann,Wie,Wo,"Asking for a date"
138,Sentences,build_sentence,"möchte|er|lernen|Spanisch",Er möchte Spanisch lernen.,,,
139,Pronouns,multiple_choice,"Die Lehrerin fragt ___.",dich,dir,du,"fragen + Akkusativ"
140,Verbs,multiple_choice,"Ich ___ meinen Schlüssel.",suche,suchst,sucht,"suchen (to look for)"
141,Cases,fill_in_blank,"Wir haben ___ schönes Auto.",ein,einen,eine,"das Auto (neuter)"
142,Haben/Sein,fill_in_blank,"Sie (formal) ___ sehr freundlich.",sind,haben,seid,"sein (to be)"
143,Verbs,fill_in_blank,"Der Film ___ um 20 Uhr.",beginnt,beginne,beginnen,"beginnen (to begin)"
144,Articles,multiple_choice,"Ich gebe ___ Frau die Blumen.",der,die,den,"die Frau (Dativ - A2)"
145,W-Fragen,fill_in_blank,"___ viel kostet das?",Wie,Was,Wann,"Asking for price/amount"
146,Sentences,build_sentence,"er|muss|arbeiten|heute",Er muss heute arbeiten.,,,
147,Pronouns,multiple_choice,"Das Fahrrad gehört ___.",mir,mich,ich,"gehören + Dativ"
148,Verbs,multiple_choice,"Du ___ zu schnell.",fährst,fahre,fahrt,"fahren (to drive - irregular)"
149,Cases,fill_in_blank,"Ich trinke ___ Tasse Tee.",eine,einen,ein,"die Tasse (feminine)"
150,Haben/Sein,fill_in_blank,"Wir ___ letztes Jahr in Italien.",waren,hatten,sind,"sein (to be) - Past Tense (Präteritum)"
151,Verbs,fill_in_blank,"Ihr ___ einen Film.",seht,sehen,sehe,"sehen (to see - irregular)"
152,Articles,multiple_choice,"Er hilft ___ Kind.",dem,das,den,"das Kind (Dativ - A2)"
153,W-Fragen,fill_in_blank,"___ ist dein Beruf?",Was,Wer,Wie,"Asking for profession"
154,Sentences,build_sentence,"kannst|du|bitte|helfen|mir|?",Kannst du mir bitte helfen?,,,
155,Pronouns,multiple_choice,"Wir kaufen ___ (him) ein Geschenk.",ihm,ihn,er,"er -> ihm (dative)"
156,Verbs,fill_in_blank,"Ich ___ um 7 Uhr auf.",stehe,stehst,steht,"aufstehen (to get up - separable)"
157,Cases,multiple_choice,"Sie liest ___ interessantes Buch.",ein,einen,eine,"das Buch (neuter)"
158,Haben/Sein,fill_in_blank,"Er ___ braune Augen.",hat,ist,habe,"haben (to have)"
159,Verbs,multiple_choice,"Der Student ___ die Frage.",antwortet,antworte,antworten,"antworten (to answer)"
160,Articles,fill_in_blank,"Das ist ___ Problem.",ein,einen,eine,"das Problem (neuter)"
161,W-Fragen,fill_in_blank,"___ gehst du?",Wohin,Wo,Woher,"Asking for destination"
162,Sentences,build_sentence,"wollen|wir|essen|gehen|?",Wollen wir essen gehen?,,,
163,Pronouns,multiple_choice,"Glaubst du ___?",mir,mich,ich,"glauben + Dativ"
164,Verbs,fill_in_blank,"Wir ___ unsere Freunde.",treffen,trefft,treffe,"treffen (to meet)"
165,Cases,multiple_choice,"Ich brauche ___ neue Brille.",eine,einen,ein,"die Brille (feminine)"
166,Haben/Sein,fill_in_blank,"Ich ___ am Bahnhof.",bin,habe,werde,"sein (to be)"
167,Verbs,multiple_choice,"Sie (she) ___ das Fenster.",öffnet,öffne,öffnen,"öffnen (to open)"
168,Articles,fill_in_blank,"Er schenkt seiner Freundin ___ Ring.",einen,eine,ein,"der Ring (masculine)"
169,W-Fragen,fill_in_blank,"___ lange dauert der Flug?",Wie,Was,Wann,"Asking for duration"
170,Sentences,build_sentence,"ich|fern|sehe|am Abend",Ich sehe am Abend fern.,,,
171,Pronouns,multiple_choice,"Die Jacke passt ___ gut.",dir,dich,du,"passen + Dativ"
172,Verbs,fill_in_blank,"Du ___ einen Brief.",schreibst,schreibe,schreibt,"schreiben (to write)"
173,Cases,multiple_choice,"Wir gehen in ___ Park.",den,der,dem,"in + Akkusativ (destination)"
174,Haben/Sein,fill_in_blank,"Ihr ___ eine gute Note.",habt,seid,haben,"haben (to have)"
175,Verbs,multiple_choice,"Ich ___ nicht, was du meinst.",verstehe,verstehst,versteht,"verstehen (to understand)"
176,Articles,fill_in_blank,"Das ist ___ Mann, den ich kenne.",der,den,dem,"der Mann (Nominative)"
177,W-Fragen,fill_in_blank,"___ Farbe hat dein Auto?",Welche,Was,Wie,"Asking 'which color'"
178,Sentences,build_sentence,"bringt|er|mit|den Kuchen",Er bringt den Kuchen mit.,,,
179,Pronouns,multiple_choice,"Kann ich ___ helfen?",Ihnen,Sie,Ihr,"Sie (formal) -> Ihnen (dative)"
180,Verbs,fill_in_blank,"Sie (Plural) ___ ihre Hausaufgaben.",machen,macht,mache,"machen (to do)"
181,Cases,multiple_choice,"Ich stelle die Flasche auf ___ Tisch.",den,der,dem,"auf + Akkusativ (destination)"
182,Haben/Sein,fill_in_blank,"Du ___ Recht.",hast,bist,habe,"Recht haben (to be right)"
183,Verbs,multiple_choice,"Der Wecker ___ um 6 Uhr.",klingelt,klingele,klingeln,"klingeln (to ring)"
184,Articles,fill_in_blank,"Sie hat ___ schönes Lächeln.",ein,einen,eine,"das Lächeln (neuter)"
185,W-Fragen,fill_in_blank,"___ kommt dein Bruder?",Wann,Was,Wer,"Asking 'when' or 'who'"
186,Sentences,build_sentence,"möchte|ich|einen Termin|vereinbaren",Ich möchte einen Termin vereinbaren.,,,
187,Pronouns,multiple_choice,"Wir gratulieren ___ zum Geburtstag.",dir,dich,du,"gratulieren + Dativ"
188,Modal Verbs,fill_in_blank,"Man ___ hier nicht parken.",darf,muss,kann,"dürfen (may, allowed to)"
189,Cases,multiple_choice,"Er gibt ___ Kellner das Trinkgeld.",dem,den,der,"der Kellner (Dativ - A2)"
190,Haben/Sein,fill_in_blank,"Ich ___ 20 Jahre alt.",bin,habe,werde,"sein (to be)"
191,Verbs,fill_in_blank,"Was ___ du zum Frühstück?",isst,esse,essen,"essen (to eat - irregular)"
192,Articles,multiple_choice,"Dort ist ___ Schule.",die,der,den,"die Schule (feminine)"
193,W-Fragen,fill_in_blank,"___ ist dein Lieblingsessen?",Was,Wer,Wie,"Asking 'what'"
194,Sentences,build_sentence,"kauft|ein|sie|im Supermarkt",Sie kauft im Supermarkt ein.,,,
195,Pronouns,multiple_choice,"Das Auto gehört ___.",ihm,ihn,er,"er -> ihm (dative)"
196,Verbs,multiple_choice,"Ihr ___ zu laut.",seid,habt,sind,"sein (to be)"
197,Cases,fill_in_blank,"Ich lege das Buch auf ___ Tisch.",den,der,dem,"auf + Akkusativ (destination)"
198,Haben/Sein,fill_in_blank,"Sie ___ viele Fragen.",hat,ist,habe,"haben (to have)"
199,Verbs,fill_in_blank,"Ich ___ dir später.",antworte,antwortest,antwortet,"antworten (to answer)"
200,Articles,multiple_choice,"Er ist ___ guter Freund.",ein,einen,eine,"der Freund (Nominative)"
201,W-Fragen,fill_in_blank,"Aus ___ Land kommen Sie?",welchem,welchen,welcher,"Asking 'from which country'"
202,Sentences,build_sentence,"hole|dich|ab|ich|vom Bahnhof",Ich hole dich vom Bahnhof ab.,,,
203,Pronouns,multiple_choice,"Das schmeckt ___ sehr gut.",uns,wir,unser,"schmecken + Dativ"
204,Verbs,fill_in_blank,"Er ___ jeden Morgen Zeitung.",liest,lese,lesen,"lesen (to read - irregular)"
205,Cases,multiple_choice,"Sie geht mit ___ Hund spazieren.",dem,den,der,"mit + Dativ (A2)"
206,Haben/Sein,fill_in_blank,"Ihr ___ im Chor.",singt,seid,habt,"singen (to sing)"
207,Verbs,multiple_choice,"Du ___ das Geschirr.",spülst,spüle,spülen,"spülen (to wash dishes)"
208,Articles,fill_in_blank,"Ich sehe ___ Frau mit einem Hund.",eine,einen,ein,"die Frau (feminine)"
209,W-Fragen,fill_in_blank,"___ hast du das Auto gekauft?",Wo,Wer,Was,"Asking 'where'"
210,Sentences,build_sentence,"er|an|ruft|seine Freundin",Er ruft seine Freundin an.,,,
211,Pronouns,multiple_choice,"Vertraust du ___?",mir,mich,ich,"vertrauen + Dativ"
212,Modal Verbs,fill_in_blank,"Du ___ dein Zimmer aufräumen.",sollst,soll,solle,"sollen (should, supposed to)"
213,Cases,multiple_choice,"Das Geschenk ist von ___ Tante.",der,die,den,"von + Dativ (A2)"
214,Haben/Sein,fill_in_blank,"Ich ___ gestern Geburtstag.",hatte,war,bin,"Geburtstag haben - Past"
215,Verbs,fill_in_blank,"Der Lehrer ___ die Regel.",erklärt,erkläre,erklären,"erklären (to explain)"
216,Articles,multiple_choice,"Er braucht ___ Hammer.",einen,ein,eine,"der Hammer (masculine)"
217,W-Fragen,fill_in_blank,"___ fängt der Kurs an?",Wann,Wo,Was,"Asking for start time"
218,Sentences,build_sentence,"sie|lädt|zum Essen|ein|uns",Sie lädt uns zum Essen ein.,,,
219,Pronouns,multiple_choice,"Wir folgen ___.",euch,ihr,euer,"folgen + Dativ"
220,Verbs,multiple_choice,"Ich ___ die Blumen.",gieße,gießt,gießen,"gießen (to water)"
221,Cases,fill_in_blank,"Der Brief ist für ___.",dich,dir,du,"für + Akkusativ"
222,Haben/Sein,fill_in_blank,"Du ___ schöne Haare.",hast,bist,haben,"haben (to have)"
223,Verbs,fill_in_blank,"Er ___ oft seine Großeltern.",besucht,besuche,besuchen,"besuchen (to visit)"
224,Articles,multiple_choice,"Sie kommt aus ___ Schweiz.",der,die,den,"aus + Dativ (country with article)"
225,W-Fragen,fill_in_blank,"___ möchten Sie trinken?",Was,Wer,Wie,"Asking 'what' (polite)"
226,Sentences,build_sentence,"ich|soll|einkaufen|gehen",Ich soll einkaufen gehen.,,,
227,Pronouns,multiple_choice,"Ich zeige ___ den Weg.",euch,ihr,euer,"ihr -> euch (dative)"
228,Verbs,multiple_choice,"Der Kuchen ___ gut.",riecht,rieche,riechen,"riechen (to smell)"
229,Cases,fill_in_blank,"Er geht zu ___ Arzt.",dem,den,der,"zu + Dativ (A2)"
230,Haben/Sein,fill_in_blank,"Ihr ___ aber schnell gewachsen!",seid,habt,sind,"sein (to be) - with Perfekt"
231,Verbs,fill_in_blank,"Ich ___ die Suppe.",probiere,probierst,probiert,"probieren (to try/taste)"
232,Articles,multiple_choice,"Ich kaufe ___ Brot.",das,den,der,"das Brot (neuter)"
233,W-Fragen,fill_in_blank,"Auf ___ wartest du?",wen,wem,wer,"warten auf + Akkusativ"
234,Sentences,build_sentence,"hat|er|vergessen|seinen Schlüssel",Er hat seinen Schlüssel vergessen.,,,
235,Pronouns,multiple_choice,"Der Hund gehorcht ___ nicht.",ihm,ihn,er,"gehorchen + Dativ"
236,Verbs,multiple_choice,"Wir ___ den ganzen Tag.",arbeiten,arbeitet,arbeite,"arbeiten (to work)"
237,Cases,fill_in_blank,"Sie sitzt auf ___ Stuhl.",dem,den,der,"auf + Dativ (location)"
238,Haben/Sein,fill_in_blank,"Ich ___ eine Frage.",habe,bin,hast,"haben (to have)"
239,Verbs,fill_in_blank,"Du ___ mir auf die Nerven.",gehst,gehe,gehen,"jemandem auf die Nerven gehen"
240,Articles,multiple_choice,"Das ist ___ Lösung des Problems.",die,der,das,"die Lösung (feminine)"
241,W-Fragen,fill_in_blank,"___ Sprache sprichst du?",Welche,Was,Wie,"Asking 'which language'"
242,Sentences,build_sentence,"sie|hat|einen Hund|gekauft",Sie hat einen Hund gekauft.,,,
243,Pronouns,multiple_choice,"Ich stimme ___ zu.",dir,dich,du,"zustimmen + Dativ"
244,Modal Verbs,fill_in_blank,"Ich ___ dich morgen besuchen.",will,wollen,willst,"wollen (to want to)"
245,Cases,multiple_choice,"Er läuft durch ___ Park.",den,dem,der,"durch + Akkusativ"
246,Haben/Sein,fill_in_blank,"Er ___ Fieber.",hat,ist,habe,"Fieber haben"
247,Verbs,fill_in_blank,"Ich ___ dir mein Fahrrad.",leihe,leihst,leiht,"leihen (to lend)"
248,Articles,multiple_choice,"Wir fahren in ___ Berge.",die,den,der,"in + Akkusativ (Plural)"
249,W-Fragen,fill_in_blank,"___ hast du das gemacht?",Warum,Wann,Wo,"Asking 'why'"
250,Sentences,build_sentence,"ich|habe|verstanden|nichts",Ich habe nichts verstanden.,,,
251,Verbs,fill_in_blank,"Der Hund ___ laut.",bellt,belle,bellen,"bellen (to bark)"
252,Cases,multiple_choice,"Ich brauche ___ Schere.",eine,einen,ein,"die Schere (feminine)"
253,W-Fragen,fill_in_blank,"___ ist passiert?",Was,Wer,Wie,"Asking 'what happened'"
254,Sentences,build_sentence,"wir|sollen|lernen|mehr",Wir sollen mehr lernen.,,,
255,Pronouns,multiple_choice,"Erinnert ihr ___ an mich?",euch,ihr,euer,"sich erinnern an + Akkusativ"
256,Verbs,multiple_choice,"Sie (she) ___ die Blumen.",mag,mögen,magst,"mögen (to like)"
257,Articles,fill_in_blank,"Er hat ___ blaues Auto.",ein,einen,eine,"das Auto (neuter)"
258,Haben/Sein,fill_in_blank,"Wir ___ keine Zeit.",haben,sind,habt,"haben (to have)"
259,Verbs,fill_in_blank,"Ich ___ um 6 Uhr auf.",wache,wachst,wacht,"aufwachen (to wake up - separable)"
260,Cases,multiple_choice,"Sie geht ohne ___ Mantel.",einen,einem,ein,"ohne + Akkusativ"
261,W-Fragen,fill_in_blank,"Für ___ ist das Geschenk?",wen,wem,wer,"für + Akkusativ"
262,Sentences,build_sentence,"er|hat|vergessen|zu fragen",Er hat vergessen zu fragen.,,,
263,Pronouns,multiple_choice,"Wir warten auf ___.",dich,dir,du,"warten auf + Akkusativ"
